2026-05-18T22:03:40.169+04:00  INFO 8252 --- [game-recommendation] [main] .d.g.s.g.GigachatIntegrationAccuracyTest : Starting GigachatIntegrationAccuracyTest using Java 17.0.12 with PID 8252 (started by User in D:\diplome\code\game-recommendation)
2026-05-18T22:03:40.221+04:00 DEBUG 8252 --- [game-recommendation] [main] .d.g.s.g.GigachatIntegrationAccuracyTest : Running with Spring Boot v4.0.6, Spring v7.0.7
2026-05-18T22:03:40.266+04:00  INFO 8252 --- [game-recommendation] [main] .d.g.s.g.GigachatIntegrationAccuracyTest : The following 1 profile is active: "dev"
2026-05-18T22:03:43.248+04:00  INFO 8252 --- [game-recommendation] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-18T22:03:43.855+04:00  INFO 8252 --- [game-recommendation] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 579 ms. Found 9 JPA repository interfaces.
2026-05-18T22:03:48.536+04:00  INFO 8252 --- [game-recommendation] [main] org.hibernate.orm.jpa                    : HHH008540: Processing PersistenceUnitInfo [name: default]
2026-05-18T22:03:48.920+04:00  INFO 8252 --- [game-recommendation] [main] org.hibernate.orm.core                   : HHH000001: Hibernate ORM core version 7.2.12.Final
2026-05-18T22:03:51.493+04:00  INFO 8252 --- [game-recommendation] [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-18T22:03:51.719+04:00  INFO 8252 --- [game-recommendation] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2026-05-18T22:03:53.514+04:00  INFO 8252 --- [game-recommendation] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7683d632
2026-05-18T22:03:53.523+04:00  INFO 8252 --- [game-recommendation] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2026-05-18T22:03:53.963+04:00  INFO 8252 --- [game-recommendation] [main] org.hibernate.orm.connections.pooling    : HHH10001005: Database info:
	Database JDBC URL [jdbc:postgresql://localhost:5432/game_recommendation]
	Database driver: PostgreSQL JDBC Driver
	Database dialect: PostgreSQLDialect
	Database version: 16.4
	Default catalog/schema: game_recommendation/public
	Autocommit mode: undefined/unknown
	Isolation level: READ_COMMITTED [default READ_COMMITTED]
	JDBC fetch size: none
	Pool: DataSourceConnectionProvider
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2026-05-18T22:03:58.722+04:00  WARN 8252 --- [game-recommendation] [main] org.hibernate.orm.core                   : HHH000038: Composite id class does not override equals(): com.diplome.game_recommendation.models.GameTagId
2026-05-18T22:04:00.402+04:00  INFO 8252 --- [game-recommendation] [main] org.hibernate.orm.core                   : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-18T22:04:00.709+04:00  INFO 8252 --- [game-recommendation] [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-18T22:04:00.938+04:00  INFO 8252 --- [game-recommendation] [main] o.s.d.j.r.query.QueryEnhancerFactories   : Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-18T22:04:07.313+04:00  WARN 8252 --- [game-recommendation] [main] o.s.w.c.s.GenericWebApplicationContext   : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'authController' defined in file [D:\diplome\code\game-recommendation\target\classes\com\diplome\game_recommendation\controllers\AuthController.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'userService' defined in file [D:\diplome\code\game-recommendation\target\classes\com\diplome\game_recommendation\services\UserService.class]: Unsatisfied dependency expressed through constructor parameter 5: Error creating bean with name 'interactionService' defined in file [D:\diplome\code\game-recommendation\target\classes\com\diplome\game_recommendation\services\InteractionService.class]: Unsatisfied dependency expressed through constructor parameter 4: Error creating bean with name 'gameService' defined in file [D:\diplome\code\game-recommendation\target\classes\com\diplome\game_recommendation\services\GameService.class]: Unsatisfied dependency expressed through constructor parameter 2: Error creating bean with name 'rawgApiService': Injection of autowired dependencies failed
